image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0040_top_20250623_t1,DJI_0581,308.5,330.5,19,81,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,90.5,182.5,21,85,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,254.5,160.5,19,85,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,310.5,434.0,21,80,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,186.5,453.0,25,84,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,214.5,454.0,25,88,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,110.5,463.5,25,85,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,409.5,329.0,23,90,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,481.5,307.5,21,87,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,161.5,373.0,59,46,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,153.0,280.0,54,42,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,168.0,501.5,50,41,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,280.5,489.0,51,44,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,276.5,401.5,51,47,ILLEGAL,ILLEGAL;OTHER
0043_top_20250623_t1,DJI_0581,396.5,470.5,19,83,ILLEGAL,ILLEGAL;OTHER
0044_top_20250623_t1,DJI_0581,315.5,162.5,57,89,ILLEGAL,ILLEGAL;OTHER
0044_top_20250623_t1,DJI_0581,168.5,47.0,49,94,ILLEGAL,ILLEGAL;OTHER
0044_top_20250623_t1,DJI_0581,139.0,331.0,56,132,ILLEGAL,ILLEGAL;OTHER
0044_top_20250623_t1,DJI_0581,101.0,290.0,42,106,ILLEGAL,ILLEGAL;OTHER
0047_top_20250623_t1,DJI_0581,336.5,224.0,21,92,ILLEGAL,ILLEGAL;OTHER
0047_top_20250623_t1,DJI_0581,258.5,231.5,25,99,ILLEGAL,ILLEGAL;OTHER
0047_top_20250623_t1,DJI_0581,501.5,240.5,21,93,ILLEGAL,ILLEGAL;OTHER
0047_top_20250623_t1,DJI_0581,148.0,323.5,24,89,ILLEGAL,ILLEGAL;OTHER
0011_top_20250630_t1,DJI_0582,406.0,266.5,64,53,ILLEGAL,ILLEGAL;OTHER
0011_top_20250703_t1,DJI_0582,332.0,465.0,64,56,ILLEGAL,ILLEGAL;OTHER
0011_top_20250703_t1,DJI_0582,338.0,29.0,60,34,ILLEGAL,ILLEGAL;OTHER
0011_top_20250703_t1,DJI_0582,340.5,114.0,69,58,ILLEGAL,ILLEGAL;OTHER
0011_top_20250704_t1,DJI_0582,412.0,92.0,50,52,ILLEGAL,ILLEGAL;OTHER
0012_top_20250704_t1,DJI_0582,270.5,39.5,81,71,ILLEGAL,ILLEGAL;OTHER
0014_top_20250707_t1,DJI_0583,565.5,99.5,47,55,ILLEGAL,ILLEGAL;OTHER
0022_top_20250626_t1,DJI_0584,431.0,543.5,86,61,ILLEGAL,ILLEGAL;OTHER
0022_top_20250626_t1,DJI_0584,90.5,101.0,37,124,ILLEGAL,ILLEGAL;OTHER
0022_top_20250626_t1,DJI_0584,285.0,234.0,26,104,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,415.5,49.0,53,60,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,238.0,42.0,32,84,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,275.5,106.0,27,116,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,405.0,405.0,32,120,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,316.5,251.5,29,123,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,279.0,281.0,24,94,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,229.5,336.0,27,110,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,364.0,403.5,32,115,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,235.5,480.5,29,117,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,355.5,266.5,27,125,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,239.0,164.0,24,96,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,276.0,458.5,26,109,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,403.5,281.0,25,90,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,457.0,280.0,28,124,ILLEGAL,ILLEGAL;OTHER
0001_top_20250626_t1,DJI_0585,403.0,9.0,68,18,ILLEGAL,ILLEGAL;OTHER
0001_top_20250707_t1,DJI_0585,406.5,265.0,87,76,ILLEGAL,ILLEGAL;OTHER
0002_top_20250626_t1,DJI_0585,158.5,167.0,85,52,ILLEGAL,ILLEGAL;OTHER
0002_top_20250626_t1,DJI_0585,378.0,537.5,78,49,ILLEGAL,ILLEGAL;OTHER
0002_top_20250626_t1,DJI_0585,157.0,349.5,74,69,ILLEGAL,ILLEGAL;OTHER
0002_top_20250626_t1,DJI_0585,159.0,75.0,78,52,ILLEGAL,ILLEGAL;OTHER
0002_top_20250626_t1,DJI_0585,156.5,247.0,69,50,ILLEGAL,ILLEGAL;OTHER
0003_top_20250626_t1,DJI_0585,259.0,307.5,28,119,ILLEGAL,ILLEGAL;OTHER
0003_top_20250626_t1,DJI_0585,412.0,138.0,28,118,ILLEGAL,ILLEGAL;OTHER
0003_top_20250626_t1,DJI_0585,405.5,288.0,25,94,ILLEGAL,ILLEGAL;OTHER
0004_top_20250709_t1,DJI_0585,221.5,320.5,93,173,ILLEGAL,ILLEGAL;OTHER
0004_top_20250709_t1,DJI_0585,590.5,261.5,95,173,ILLEGAL,ILLEGAL;OTHER
0004_top_20250709_t1,DJI_0585,329.5,325.5,87,181,ILLEGAL,ILLEGAL;OTHER
0004_top_20250709_t1,DJI_0585,459.5,330.0,89,188,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,187.0,542.5,82,49,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,189.0,442.5,76,51,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,392.0,567.5,82,57,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,387.5,252.0,73,48,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,391.5,334.0,83,52,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,387.0,171.0,74,58,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,388.0,33.5,84,55,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,385.5,105.0,79,52,ILLEGAL,ILLEGAL;OTHER
0008_top_20250626_t1,DJI_0585,612.0,120.0,54,240,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,88.5,175.0,67,48,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,87.5,231.0,69,48,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,519.5,461.0,33,116,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,291.5,138.5,25,107,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,223.0,55.5,26,109,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,208.0,489.5,28,91,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,275.5,481.0,27,100,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,242.0,487.0,28,104,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,326.5,480.5,27,97,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,488.5,466.5,29,111,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,361.0,165.0,26,102,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,458.5,469.5,29,101,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,325.5,146.5,25,103,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,255.5,120.0,25,102,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,360.0,470.0,30,104,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,495.0,197.5,30,97,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,586.5,457.5,31,109,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,396.0,176.5,26,95,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,557.0,462.5,30,99,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,424.0,468.5,28,95,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,428.0,194.0,26,94,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,616.5,458.5,29,103,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,530.5,199.5,31,101,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,625.0,192.5,28,111,ILLEGAL,ILLEGAL;OTHER
0008_top_20250707_t1,DJI_0585,463.0,196.0,28,92,ILLEGAL,ILLEGAL;OTHER
